"set","instance","variation","incompatibilities","n","m","makespan.bkv","makespan.cplex","gap"
"taillard",12,"I",2,20,10,4367,5474.9955506,66.58690343
"taillard",13,"I",0,20,10,3874,4629.0049088,65.4203238
"taillard",13,"I",1,20,10,3883,4499.998796,64.1773505
"taillard",13,"I",2,20,10,3918,4513.0016685,62.50208192
"taillard",14,"I",0,20,10,3563,4299.0025364,66.77781592
"taillard",14,"I",1,20,10,3584,4182.00301,64.37082885
"taillard",14,"I",2,20,10,3590,4432.0027965,64.96633987
"taillard",15,"I",0,20,10,3678,4149.0000825,62.12219688
"taillard",15,"I",1,20,10,3700,4609.9972346,65.56815213
"taillard",15,"I",2,20,10,3708,4692.0049954,65.46327216
"taillard",16,"I",0,20,10,3653,4349.9955333,67.15202298
"taillard",16,"I",1,20,10,3655,4638.0016919,68.67310992
"taillard",16,"I",2,20,10,3643,4298.9993752,66.09631107
"taillard",17,"I",0,20,10,3747,5211.0033087,67.00226028
"taillard",17,"I",1,20,10,3756,4583.999811,61.82504618
"taillard",17,"I",2,20,10,3807,4575.0027313,61.49482668
"taillard",18,"I",0,20,10,3941,4661.997264,65.30720263
"taillard",18,"I",1,20,10,4010,5159.0023075,68.47002171
"taillard",18,"I",2,20,10,4122,5125.0014838,67.13422447
"taillard",19,"I",0,20,10,4209,4798.0039013,64.60645018
"taillard",19,"I",1,20,10,4218,5066.0012703,65.75600404
"taillard",19,"I",2,20,10,4355,4910.9973803,63.11385977
"taillard",20,"I",0,20,10,4081,4877.0035875,64.16296285
"taillard",20,"I",1,20,10,4071,5023.998958,65.880985
"taillard",20,"I",2,20,10,4113,4968.0042295,64.59797238
"taillard",21,"I",0,20,20,5824,15463.9965901,82.54787128
"taillard",21,"I",1,20,20,5924,11360.0017218,75.97428426
"taillard",21,"I",2,20,20,5925,8572.9975098,67.71727151
"taillard",22,"I",0,20,20,5349,22905.0289724,89.09266181
"taillard",22,"I",1,20,20,5275,8162.0005058,68.66686661
"taillard",22,"I",2,20,20,5359,9383.9982785,72.16987684
